Competition,Athlete,Nationality,mh100,HJ,SP,m200,LJ,JT,m800
2019 World Championships,Katarina Johnson-Thompson, Great Britain & N.I. (GBR),1111,1171,785,1071,1095,743,1005
2019 World Championships,Nafissatou Thiam, Belgium (BEL),1071,1171,876,924,975,822,838
2019 World Championships,Verena Preiner, Austria (AUT),1087,941,808,985,962,796,981
2019 World Championships,Erica Bougard, United States (USA),1123,1054,685,991,915,734,968
2019 World Championships,Kendell Williams, United States (USA),1189,941,708,1017,937,766,857
2019 World Championships,Nadine Broersen, Netherlands (NED),1034,1016,844,861,918,868,851
2019 World Championships,Emma Oosterwegel, Netherlands (NED),1028,941,774,878,810,938,881
2019 World Championships,Odile Ahouanwanou, Benin (BEN),1058,941,803,976,850,797,785
2019 World Championships,Géraldine Ruckstuhl, Switzerland (SUI),1001,867,813,868,768,964,878
2019 World Championships,Ekaterina Voronina, Uzbekistan (UZB),890,978,771,884,798,891,887
2019 World Championships,Hanne Maudens, Belgium (BEL),993,867,735,999,978,595,921
2019 World Championships,Chari Hawkins, United States (USA),1090,941,767,904,834,669,868
2019 World Championships,Annie Kunz, United States (USA),1084,978,833,945,834,579,814
2019 World Championships,Solène Ndama, France (FRA),1140,867,773,948,843,622,841
2019 World Championships,Noor Vidts, Belgium (BEL),1039,941,764,937,883,545,880
2019 World Championships,Kateřina Cachová, Czech Republic (CZE),1055,903,700,891,786,785,867
2019 World Championships,Anouk Vetter, Netherlands (NED),1043,903,801,940,912,941,
2019 World Championships,Marthe Koala, Burkina Faso (BUR),1117,903,746,953,988,621,
2019 World Championships,Maria Huntington, Finland (FIN),1077,1016,675,913,,,
2017 World Championships,Nafissatou Thiam, Belgium (BEL),1044,1171,872,927,1030,936,804
2017 World Championships,Carolin Schäfer, Germany (GER),1111,1054,850,1021,912,860,888
2017 World Championships,Anouk Vetter, Netherlands (NED),1078,941,867,946,949,1024,831
2017 World Championships,Yorgelis Rodríguez, Cuba (CUB),1036,1171,757,941,921,810,958
2017 World Championships,Katarina Johnson-Thompson, Great Britain & N.I. (GBR),1075,978,692,1093,1027,700,993
2017 World Championships,Ivona Dadic, Austria (AUT),1024,978,782,970,843,905,915
2017 World Championships,Nadine Visser, Netherlands (NED),1147,941,725,1007,943,711,896
2017 World Championships,Claudia Salman-Rath, Germany (GER),1047,903,717,988,1023,681,1003
2017 World Championships,Xénia Krizsán, Hungary (HUN),1021,941,803,873,828,884,1006
2017 World Championships,Eliška Klučinová, Czech Republic (CZE),974,1054,848,913,899,704,921
2017 World Championships,Géraldine Ruckstuhl, Switzerland (SUI),1007,978,751,902,795,902,895
2017 World Championships,Kendell Williams, United States (USA),1121,903,709,953,908,791,835
2017 World Championships,Grit Šadeiko, Estonia (EST),1069,903,698,924,850,811,839
2017 World Championships,Alina Shukh, Ukraine (UKR),934,1016,777,746,804,917,881
