link,sex
https://www.tfrrs.org/athletes/2773349/Kayla_Wilson.html,w
https://www.tfrrs.org/athletes/1163081/Grand_Valley_St/Stephanie_McCarthy.html,w
https://www.tfrrs.org/athletes/1696122/Lewis/Samantha_Linck.html,w
https://www.tfrrs.org/athletes/2445525/Lewis/Sarah_Sielisch.html,w
https://www.tfrrs.org/athletes/2758693/Grand_Valley_St/Kristen_Patchel.html,w
https://www.tfrrs.org/athletes/1254067/Lewis/Christine_Kustra.html,w
https://www.tfrrs.org/athletes/1256209/Saginaw_Valley/Mark_Badowsky.html,m
https://www.tfrrs.org/athletes/1253992/Lewis/Pat_Reaney.html,m
https://www.tfrrs.org/athletes/1263284/Northwood/Bill_Smith.html,m
https://www.tfrrs.org/athletes/2751946/Saginaw_Valley/Tyler_Grob.html,m
https://www.tfrrs.org/athletes/2731972/Manhattan/Andrea_Nyback.html,w
https://www.tfrrs.org/athletes/779686/Southern_Maine/James_Spaulding.html,m
https://www.tfrrs.org/athletes/2747194/Tufts/Michael_Blair.html,m
https://www.tfrrs.org/athletes/1199064/Tufts/Jared_Engelking.html,m
https://www.tfrrs.org/athletes/1199060/Tufts/Bobby_Bardin.html,m
https://www.tfrrs.org/athletes/2747200/Tufts/Tobie_Reeuwijk.html,m
https://www.tfrrs.org/athletes/2768759/Bates/Anthony_Haeuser.html,m
https://www.tfrrs.org/athletes/2768757/Bates/Jesse_Chapman.html,m
https://www.tfrrs.org/athletes/1199063/Tufts/Trevor_Donadt.html,m
https://www.tfrrs.org/athletes/2768760/Bates/David_Hardison.html,m
https://www.tfrrs.org/athletes/1692697/Southern_Maine/Evan_Davis.html,m
https://www.tfrrs.org/athletes/1694683/Slippery_Rock/Kelly_Bruder.html,w
https://www.tfrrs.org/athletes/2217559/Tiffin/Brittaney_Meek.html,w
https://www.tfrrs.org/athletes/1254237/Cincinnati/Jasmine_Cotten.html,w
https://www.tfrrs.org/athletes/2127092/Delaware_State/Kristen_Johnson.html,w
https://www.tfrrs.org/athletes/1254235/Cincinnati/Boudine_Bouma.html,w
