link,sex
https://www.tfrrs.org/athletes/2761901/Glenville_St/Marteney_Jacobs.html,m
https://www.tfrrs.org/athletes/2808993/Pitt_Johnstown/Stephanie__Szczur.html,m
https://www.tfrrs.org/athletes/2761885/Glenville_St/Bradley_Benson.html,m
https://www.tfrrs.org/athletes/3260442/Alderson_Broaddus/James_Anderson.html,m
https://www.tfrrs.org/athletes/3727405/Glenville_St/Boris__Nimcevic.html,m
https://www.tfrrs.org/athletes/3758408/Wis_River_Falls/Kara_Stein.html,m
https://www.tfrrs.org/athletes/3290331/Wis_Stout/Jessika_Smith.html,m
https://www.tfrrs.org/athletes/3275396/St_Cloud_St/Lauren_Kuklinski.html,m
https://www.tfrrs.org/athletes/3259048/Wis_Eau_Claire/Kelsey_Weigel.html,m
https://www.tfrrs.org/athletes/3275395/St_Cloud_St/Angela_Walhovd.html,m
https://www.tfrrs.org/athletes/3734565/St_Scholastica/Emily_Schwantke.html,m
https://www.tfrrs.org/athletes/2950502/Wis_Stout/Anne_Guthrie.html,m
https://www.tfrrs.org/athletes/3729237/Winona_State/Megan_Zeiher.html,m
https://www.tfrrs.org/athletes/3718738/Minnesota_Duluth/Chanel_Miller.html,m
https://www.tfrrs.org/athletes/3758406/Wis_River_Falls/Liz_O'Brien.html,m
https://www.tfrrs.org/athletes/2748129/Winona_State/Anna_Blaske.html,m
https://www.tfrrs.org/athletes/2744955/Wis_Eau_Claire/Michelle_Baranek.html,m
https://www.tfrrs.org/athletes/3718737/Minnesota_Duluth/Amelia_Maher.html,m
https://www.tfrrs.org/athletes/3729227/Winona_State/Hannah_Mueller.html,m
https://www.tfrrs.org/athletes/3274630/St_Cloud_St/Kelsey_King.html,m
https://www.tfrrs.org/athletes/2950503/Wis_Stout/Heather_Inczauskis.html,m
https://www.tfrrs.org/athletes/1860280/Wis_River_Falls/Becky_Ponick.html,m
https://www.tfrrs.org/athletes/3735459/Wis_Eau_Claire/Evelyn_Theisen.html,m
https://www.tfrrs.org/athletes/3732500/Wis_Superior/Jennifer_Kromrey.html,m
https://www.tfrrs.org/athletes/3743203/Wis_Stout/Cheyenne_Gray.html,m
https://www.tfrrs.org/athletes/2950550/Wis_Stout/Zach_Anderson.html,m
https://www.tfrrs.org/athletes/2767315/Minnesota_Duluth/Ben__Niemann.html,m
https://www.tfrrs.org/athletes/3743250/Wis_Stout/Brandon_Zarnoth.html,m
https://www.tfrrs.org/athletes/3718343/Minnesota_Duluth/Brooks_Zamzow.html,m
https://www.tfrrs.org/athletes/2744935/Wis_Eau_Claire/Patrick__Swanson.html,m
https://www.tfrrs.org/athletes/3478313/Wis_River_Falls/Michael_Woodward.html,m
https://www.tfrrs.org/athletes/3735470/Wis_Eau_Claire/Greg_Peterson.html,m
https://www.tfrrs.org/athletes/3904424/Wis_River_Falls/Carl_Calabrese.html,m
https://www.tfrrs.org/athletes/3306288/Wis_River_Falls/Zeth_Engel.html,m
https://www.tfrrs.org/athletes/3274557/St_Cloud_St/David_Braaten.html,m
https://www.tfrrs.org/athletes/2565973/Wis_Eau_Claire/Bart_Mestelle.html,m
https://www.tfrrs.org/athletes/3290350/Wis_Stout/Travis_Hilden.html,m
https://www.tfrrs.org/athletes/3734621/St_Scholastica/Connor_Stevens.html,m
https://www.tfrrs.org/athletes/3758521/Wis_River_Falls/Gabe_Dwyer.html,m
https://www.tfrrs.org/athletes/3306255/Wis_River_Falls/Donovan_Nelson.html,m
https://www.tfrrs.org/athletes/3264494/UNLV/Rita_Rudell.html,m
https://www.tfrrs.org/athletes/3264492/UNLV/Taylar_Mills.html,m
https://www.tfrrs.org/athletes/3653753/UNLV/Erin_Morris.html,m
https://www.tfrrs.org/athletes/2790312/UNLV/Erin_Straughter.html,m
https://www.tfrrs.org/athletes/2369139/Breanna_Robinson.html,m
https://www.tfrrs.org/athletes/2237381/UNLV/Deja_Edwards.html,m
https://www.tfrrs.org/athletes/3726243/U_of_Mary/Tess_Johnson.html,m
https://www.tfrrs.org/athletes/3277083/Minot_State/Allie_Helterbran.html,m
https://www.tfrrs.org/athletes/3280738/North_Dakota/Jordan_Fisk.html,m
https://www.tfrrs.org/athletes/1958906/MSU_Moorhead/Luke_Buchholz_.html,m
https://www.tfrrs.org/athletes/3735033/MSU_Moorhead/Stephen_Jonas.html,m
https://www.tfrrs.org/athletes/1758546/Dickinson_St/Trevor_Willis.html,m
https://www.tfrrs.org/athletes/3266467/North_Dakota_St/Beauregard_Gagnon.html,m
https://www.tfrrs.org/athletes/3277111/Minot_State/Jeremy_Holman.html,m
https://www.tfrrs.org/athletes/3733497/North_Dakota_St/Dan_Gorghuber.html,m
https://www.tfrrs.org/athletes/2757382/Albright/Clark_Runciman.html,m
https://www.tfrrs.org/athletes/3265282/Keystone/Andrew_Todd.html,m
https://www.tfrrs.org/athletes/2761625/Moravian/Nicco_Dalpiaz.html,m
https://www.tfrrs.org/athletes/3652312/Lafayette/Chris_Castello.html,m
https://www.tfrrs.org/athletes/2745429/Kutztown/Jacob_Murray.html,m
https://www.tfrrs.org/athletes/3323285/Delaware_Valley/Jesse_Ware.html,m
https://www.tfrrs.org/athletes/3772080/Edinboro/Steve_Paternostro.html,m
https://www.tfrrs.org/athletes/2719144/East_Stroudsburg/Andrew__Sloves.html,m
https://www.tfrrs.org/athletes/2726140/Ursinus/Anthony_Gochal.html,m
https://www.tfrrs.org/athletes/2748593/Slippery_Rock/Andrew_Greenslade.html,m
https://www.tfrrs.org/athletes/2232088/Muhlenberg/Michael_Baer.html,m
https://www.tfrrs.org/athletes/3261002/Slippery_Rock/Derick_Fiedler.html,m
https://www.tfrrs.org/athletes/3239898/Muhlenberg/Scott_Reutter.html,m
https://www.tfrrs.org/athletes/3664390/Alvernia/Zadren_Winns.html,m
https://www.tfrrs.org/athletes/2721376/Lafayette/Nick_Carboni.html,m
https://www.tfrrs.org/athletes/3717213/Slippery_Rock/Adam_Brenneman.html,m
https://www.tfrrs.org/athletes/2223222/Lafayette/Stephanie_Hazlett.html,m
https://www.tfrrs.org/athletes/3257079/Shippensburg/Katie_Slonaker.html,m
https://www.tfrrs.org/athletes/3717190/Slippery_Rock/Amelia_Wren.html,m
https://www.tfrrs.org/athletes/3271392/Slippery_Rock/Tara_Catone.html,m
https://www.tfrrs.org/athletes/3727586/Edinboro/Brianne_Dietrich.html,m
https://www.tfrrs.org/athletes/3266848/East_Stroudsburg/Theresa_Horn.html,m
https://www.tfrrs.org/athletes/2745440/Kutztown/Brittany_Harman.html,m
https://www.tfrrs.org/athletes/2258901/Shippensburg/Sara__Wagner.html,m
https://www.tfrrs.org/athletes/3722398/Shippensburg/Bailey_Davis.html,m
https://www.tfrrs.org/athletes/3728735/Delaware_Valley/Alexis_Maylor.html,m
https://www.tfrrs.org/athletes/2647124/Muhlenberg/Tara_Keegan.html,m
https://www.tfrrs.org/athletes/2806019/Edinboro/Christine_Ziemer.html,m
https://www.tfrrs.org/athletes/3267161/Franklin__Marshall/Samantha_Greenberg.html,m
https://www.tfrrs.org/athletes/3715839/Kutztown/Christina_Descano.html,m
https://www.tfrrs.org/athletes/3170869/NW_Missouri/Samantha_Fender.html,m
https://www.tfrrs.org/athletes/3712308/Nebraska_Kearney/Brandi_Winchester.html,m
https://www.tfrrs.org/athletes/3724330/Missouri_Southern/Emily_Paullus.html,m
https://www.tfrrs.org/athletes/2759883/NW_Missouri/Jessica_Hugo.html,m
https://www.tfrrs.org/athletes/2759872/NW_Missouri/Adrienne_Cornelius.html,m
https://www.tfrrs.org/athletes/3712284/Nebraska_Kearney/Jordan_Hopkins.html,m
https://www.tfrrs.org/athletes/3256066/Nebraska_Kearney/Morgan_Fischer.html,m
https://www.tfrrs.org/athletes/2755582/Benedictine_KS/Katie_O'Grady.html,m
https://www.tfrrs.org/athletes/3725228/NW_Missouri/Hannah_Churchman.html,m
https://www.tfrrs.org/athletes/2748219/Nebraska_Kearney/Bryson_Mahlberg.html,m
